Country,Continent,ISO_Code,Level,gdlcode,Region,hdi_20178,hdi_2018
Albania,Europe,ALB,Subnat,ALBr201, Berat,0.789,0.793
Albania,Europe,ALB,Subnat,ALBr202, Diber,0.761,0.765
Albania,Europe,ALB,Subnat,ALBr203, Durres,0.809,0.813
Albania,Europe,ALB,Subnat,ALBr204, Elbasan,0.791,0.794
Albania,Europe,ALB,Subnat,ALBr205, Fier,0.774,0.778
Albania,Europe,ALB,Subnat,ALBr206, Gjirokaster,0.802,0.806
Albania,Europe,ALB,Subnat,ALBr207, Korce,0.798,0.801
Albania,Europe,ALB,Subnat,ALBr208, Kukes,0.758,0.762
Albania,Europe,ALB,Subnat,ALBr209, Lezhe,0.776,0.78
Albania,Europe,ALB,Subnat,ALBr210, Shkoder,0.791,0.795
Albania,Europe,ALB,Subnat,ALBr211, Tirana,0.828,0.832
Albania,Europe,ALB,Subnat,ALBr212, Vlore,0.81,0.814
Armenia,Europe,ARM,Subnat,ARMr101,Aragatsotn,0.752,0.755
Armenia,Europe,ARM,Subnat,ARMr102,Ararat,0.746,0.749
Armenia,Europe,ARM,Subnat,ARMr103,Armavir,0.737,0.74
Armenia,Europe,ARM,Subnat,ARMr104,Gegharkunik,0.731,0.734
Armenia,Europe,ARM,Subnat,ARMr106,Kotayk,0.774,0.777
Armenia,Europe,ARM,Subnat,ARMr105,Lori,0.747,0.75
Armenia,Europe,ARM,Subnat,ARMr107,Shirak,0.765,0.768
Armenia,Europe,ARM,Subnat,ARMr108,Syunik,0.762,0.765
Armenia,Europe,ARM,Subnat,ARMr110,Tavush,0.756,0.759
Armenia,Europe,ARM,Subnat,ARMr109,Vayots Dzor,0.764,0.767
Armenia,Europe,ARM,Subnat,ARMr111,Yerevan,0.803,0.806
Austria,Europe,AUT,Subnat,AUTr101,Burgenland,0.879,0.88
Austria,Europe,AUT,Subnat,AUTr104,Karnten,0.901,0.902
Austria,Europe,AUT,Subnat,AUTr102,Niederosterreich,0.883,0.884
Austria,Europe,AUT,Subnat,AUTr106,Oberosterreich,0.905,0.907
Austria,Europe,AUT,Subnat,AUTr107,Salzburg,0.933,0.937
Austria,Europe,AUT,Subnat,AUTr105,Steiermark,0.911,0.914
Austria,Europe,AUT,Subnat,AUTr108,Tirol,0.93,0.931
Austria,Europe,AUT,Subnat,AUTr109,Vorarlberg,0.902,0.906
Austria,Europe,AUT,Subnat,AUTr103,Wien,0.943,0.943
Azerbaijan,Europe,AZE,Subnat,AZEr102,Absheron,0.798,0.802
Azerbaijan,Europe,AZE,Subnat,AZEr107,Aran,0.706,0.709
Azerbaijan,Europe,AZE,Subnat,AZEr101,Baku,0.823,0.827
Azerbaijan,Europe,AZE,Subnat,AZEr109,Dakhlik Shirvan,0.72,0.724
Azerbaijan,Europe,AZE,Subnat,AZEr103,Ganja Gazakh,0.717,0.721
Azerbaijan,Europe,AZE,Subnat,AZEr106,Guba Khachmaz,0.731,0.735
Azerbaijan,Europe,AZE,Subnat,AZEr105,Lankaran,0.712,0.715
Azerbaijan,Europe,AZE,Subnat,AZEr104,Shaki Zaqatala,0.759,0.762
Azerbaijan,Europe,AZE,Subnat,AZEr108,Yukhari Karabakh,0.699,0.703
Belarus,Europe,BLR,Subnat,BLRr101,Brest region,0.806,0.809
Belarus,Europe,BLR,Subnat,BLRr103,Gomel region,0.816,0.818
Belarus,Europe,BLR,Subnat,BLRr104,Grodno region,0.815,0.816
Belarus,Europe,BLR,Subnat,BLRr105,Minsk region,0.828,0.829
Belarus,Europe,BLR,Subnat,BLRr106,Mogilev region,0.803,0.806
Belarus,Europe,BLR,Subnat,BLRr102,Vitebsk region,0.809,0.81
Belgium,Europe,BEL,Subnat,BELr101,Bruxelles - Brussel,0.95,0.953
Belgium,Europe,BEL,Subnat,BELr102,Prov. Antwerpen,0.943,0.946
Belgium,Europe,BEL,Subnat,BELr107,Prov. Brabant Wallon,0.936,0.949
Belgium,Europe,BEL,Subnat,BELr108,Prov. Hainaut,0.888,0.889
Belgium,Europe,BEL,Subnat,BELr109,Prov. Liege,0.895,0.901
Belgium,Europe,BEL,Subnat,BELr103,Prov. Limburg,0.926,0.927
Belgium,Europe,BEL,Subnat,BELr110,Prov. Luxembourg,0.896,0.902
Belgium,Europe,BEL,Subnat,BELr111,Prov. Namur,0.902,0.903
Belgium,Europe,BEL,Subnat,BELr104,Prov. Oost-Vlaanderen,0.932,0.934
