Country,Continent,ISO_Code,Level,gdlcode,Region,hdi_2022
Afghanistan,Asia/Pacific,AFG,National,AFGt,Total,0.462
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr101,Central (Kabul Wardak Kapisa Logar Parwan Panjsher),0.531
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr102,Central Highlands (Bamyan Daikundi),0.459
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr103,East (Nangarhar Kunar Laghman Nooristan),0.442
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr104,North (Samangan Sar-e-Pul Balkh Jawzjan Faryab),0.481
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr105,North East (Baghlan Takhar Badakhshan Kunduz),0.429
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr106,South (Uruzgan Helmand Zabul Nimroz Kandahar),0.393
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr107,South East (Ghazni Paktya Paktika Khost),0.461
Afghanistan,Asia/Pacific,AFG,Subnat,AFGr108,West (Ghor Herat Badghis Farah),0.433
Albania,Europe,ALB,National,ALBt,Total,0.789
Albania,Europe,ALB,Subnat,ALBr201, Berat,0.776
Albania,Europe,ALB,Subnat,ALBr202, Diber,0.749
Albania,Europe,ALB,Subnat,ALBr203, Durres,0.796
Albania,Europe,ALB,Subnat,ALBr204, Elbasan,0.779
Albania,Europe,ALB,Subnat,ALBr205, Fier,0.762
Albania,Europe,ALB,Subnat,ALBr206, Gjirokaster,0.789
Albania,Europe,ALB,Subnat,ALBr207, Korce,0.785
Albania,Europe,ALB,Subnat,ALBr208, Kukes,0.745
Albania,Europe,ALB,Subnat,ALBr209, Lezhe,0.764
Albania,Europe,ALB,Subnat,ALBr210, Shkoder,0.778
Albania,Europe,ALB,Subnat,ALBr211, Tirana,0.814
Albania,Europe,ALB,Subnat,ALBr212, Vlore,0.797
Algeria,Africa,DZA,National,DZAt,Total,0.745
Algeria,Africa,DZA,Subnat,DZAr104,"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",0.722
Algeria,Africa,DZA,Subnat,DZAr105,"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",0.735
Algeria,Africa,DZA,Subnat,DZAr106,"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",0.73
Algeria,Africa,DZA,Subnat,DZAr101,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",0.766
Algeria,Africa,DZA,Subnat,DZAr102,"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",0.741
Algeria,Africa,DZA,Subnat,DZAr103,"Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",0.737
Algeria,Africa,DZA,Subnat,DZAr107,"Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",0.736
Andorra,Europe,AND,National,ANDt,Total,0.884
Angola,Africa,AGO,National,AGOt,Total,0.591
Angola,Africa,AGO,Subnat,AGOr218, Bengo,0.584
Angola,Africa,AGO,Subnat,AGOr209, Benguela,0.534
Angola,Africa,AGO,Subnat,AGOr211, Bie,0.504
Angola,Africa,AGO,Subnat,AGOr201, Cabinda,0.688
Angola,Africa,AGO,Subnat,AGOr216, Cunene,0.522
Angola,Africa,AGO,Subnat,AGOr210, Huambo,0.539
Angola,Africa,AGO,Subnat,AGOr215, Huila,0.52
Angola,Africa,AGO,Subnat,AGOr213, Kuando Kubango,0.511
Angola,Africa,AGO,Subnat,AGOr205, Kuanza Norte,0.546
Angola,Africa,AGO,Subnat,AGOr206, Kuanza Sul,0.454
Angola,Africa,AGO,Subnat,AGOr204, Luanda,0.71
Angola,Africa,AGO,Subnat,AGOr208, Lunda Norte,0.526
Angola,Africa,AGO,Subnat,AGOr217, Lunda Sul,0.586
Angola,Africa,AGO,Subnat,AGOr207, Malange,0.571
