ISO,emi_2020,emi_2030,emi_2040,,period1,period2,period3,total_mt,total_gt
NLD,130.3151,89.72734772,17.89928075,0,1100.212239,538.1331423,89.49640375,1727.841785,1.727841785
DEU,603.3505,412.6871143,85.5262566,0,5080.188072,2491.066855,427.631283,7998.886209,7.998886209
DNK,27.3565,25.82017825,5.351034993,0,265.8833912,155.8560662,26.75517497,448.4946324,0.448494632
SWE,33.5761,25.75881907,5.338318772,0,296.6745953,155.4856892,26.69159386,478.8518784,0.478851878
IRL,33.7422,27.72563836,4.972490243,0,307.3391918,163.490643,24.86245122,495.692286,0.495692286
FIN,36.3299,28.5246624,5.911518706,0,324.272812,172.1809056,29.55759353,526.0113111,0.526011311
SVN,12.4773,11.84707614,1.696544323,0,121.6218807,67.71810231,8.482721617,197.8227046,0.197822705
CZE,88.8352,91.9475987,12.99267396,0,903.9139935,524.7013633,64.96336982,1493.578727,1.493578727
LUX,7.8531,6.127122707,1.269799445,0,69.90111354,36.98461076,6.348997226,113.2347215,0.113234722
BEL,85.3641,60.39860101,11.82727971,0,728.8135051,361.1294036,59.13639853,1149.079307,1.149079307
AUT,59.1424,40.73835103,8.126699395,0,499.4037552,244.3252521,40.63349698,784.3625043,0.784362504
FRA,267.1547,205.3842957,40.59129788,0,2362.694979,1229.877968,202.9564894,3795.529436,3.795529436
SVK,29.0358,30.32648655,4.105676701,0,296.8114328,172.1608163,20.52838351,489.5006326,0.489500633
ESP,202.7058,223.3828857,37.35987472,0,2130.443428,1303.713802,186.7993736,3620.956604,3.620956604
EST,7.09752,13.01465111,1.791537588,0,100.5608555,74.03094347,8.957687942,183.5494869,0.183549487
MLT,1.6107,2.165011681,0.279948733,0,18.8785584,12.22480207,1.399743666,32.50310414,0.032503104
ITA,281.2868,273.5557559,50.50586816,0,2774.21278,1620.30812,252.5293408,4647.050241,4.647050241
POL,279.2238,252.3309171,32.12130314,0,2657.773586,1422.261101,160.6065157,4240.641203,4.240641203
HUN,44.7693,46.26510262,5.960656829,0,455.1720131,261.1287972,29.80328415,746.1040945,0.746104094
CYP,6.7718,5.485736499,0.84214855,0,61.2876825,31.63942524,4.210742748,97.13785049,0.09713785
LTU,11.6938,10.31886827,1.367468126,0,110.0633414,58.43168201,6.837340632,175.332364,0.175332364
GRC,51.0022,80.26583268,10.8665921,0,656.3401634,455.6621239,54.33296048,1166.335248,1.166335248
PRT,38.9735,47.62084378,6.978871217,0,432.9717189,272.998575,34.89435608,740.86465,0.74086465
HRV,15.6269,18.17092137,2.285828732,0,168.9891069,102.2837505,11.42914366,282.7020011,0.282702001
LVA,6.9283,6.513980596,0.822344074,0,67.21140298,36.68162335,4.11172037,108.0047467,0.108004747
ROU,68.664,84.0146665,10.09227761,0,763.3933325,470.5347205,50.46138803,1284.389441,1.284389441
BGR,34.1381,43.87451595,5.114798937,0,390.0630798,244.9465744,25.57399469,660.5836489,0.660583649
,,,,,,,,,
,2465.02542,2163.992982,371.99839,,23145.09201,,,,
