ISO,e_95,e_21,e_hist,pop_95,pop_21,pop_50,k_95,k_21,hdi
AFG,0.003,0.006,0.145,0.017099541,0.040099462,0.075161958,,,
AGO,0,0.034,0.155,0.014268994,0.034503774,0.043976156,,,
ALB,0,0.007,0.169,0.003187784,0.002811666,0.003201495,,,
ARE,0.646,0.465,17.557,0.00244882,0.009365145,0.016915151,,,
ARG,0.003,0.007,0.149,0.034994814,0.045808747,0.049377013,,,
ARM,0,0.006,0.167,0.003217342,0.002790974,0.00259362,,,
AUS,0.093,0.081,2.605,0.018072,0.025688079,0.036032921,,,
AUT,0.023,0.039,0.894,0.007948278,0.008955797,0.00921379,,,
AZE,0.001,0.04,1.035,0.007685,0.01013775,0.010992962,,,
BDI,0.002,0.039,0.444,0.005962058,0.012551213,0.016810184,,,
BEL,0.004,0.235,6.532,0.010136811,0.011592952,0.012595586,,,
BEN,0,0.009,0.16,0.005905558,0.012996895,0.019213739,,,
BFA,0,0.005,0.077,0.010089878,0.022100683,0.038601849,,,
BGD,0.001,0.128,1.508,0.118706871,0.169356251,0.195776605,,,
BGR,0.001,0.006,0.082,0.008406067,0.006877743,0.006308475,,,
BHR,0.026,0.135,1.689,0.000563699,0.001463265,0.003207467,,,
BHS,0.014,0.022,0.383,0.00028015,0.000407906,0.000478395,,,
BIH,0.003,0.012,0.197,0.003843712,0.003270943,0.003301274,,,
BLR,0.166,0.178,5.435,0.010194,0.009302585,0.00820552,,,
BLZ,0.001,0.008,0.149,0.000206963,0.000400031,0.000447515,,,
BOL,0,0.026,0.418,0.007566714,0.012079472,0.01427064,,,
BRA,0.009,0.552,13.282,0.162296612,0.214326223,0.231868169,,,
BRB,0.035,0.058,1.443,0.000264959,0.0002812,0.000267512,,,
BRN,0.047,0.036,1.196,0.000297192,0.000445373,0.000626947,,,
BTN,0.011,0.022,0.401,0.000514877,0.000777486,0.001238813,,,
BWA,0.298,0.426,11.396,0.001569094,0.002588423,0.002735755,,,
CAF,0,0.00001,0.002,0.003352767,0.005457154,0.007413895,,,
CAN,0.017,0.592,18.192,0.029354,0.038226498,0.047584804,,,
CHE,0.001,0.184,3.648,0.007040687,0.008703405,0.009171719,,,
CHL,2.992,10.033,170.131,0.014296613,0.019493184,0.020534312,,,
CHN,0.066,0.109,2.28,1.204855,1.41236,1.263138095,,,
CIV,0,0.017,0.277,0.01454082,0.027478249,0.030619321,,,
CMR,0.496,0.491,15.021,0.013460994,0.027198628,0.033155573,,,
COD,0.068,0.043,1.629,0.041595744,0.095894118,0.145718887,,,
COG,0,0.003,0.013,0.002799255,0.005835806,0.007823333,,,
COL,0.002,0.145,2.525,0.037441977,0.051516562,0.063900053,,,
COM,0,0.00001,0.001,0.000475394,0.000821625,0.001286876,,,
CPV,0,0.00001,0.003,0.000389127,0.000587925,0.000573208,,,
CRI,0.02,0.023,0.643,0.003510926,0.005153957,0.006735972,,,
CUB,0.001,0.034,0.22,0.010906043,0.011256372,0.009192233,,,
CYP,0.124,0.1,3.083,0.000855384,0.001244188,0.001578669,,,
CZE,0.007,0.015,0.264,0.010327253,0.010505772,0.011703701,,,
DEU,0.006,0.023,0.409,0.081678051,0.083196078,0.078932245,,,
DJI,0,0.001,0.003,0.000630388,0.001105557,0.001377803,,,
DNK,0.002,0.056,2.043,0.005233373,0.005856733,0.006573973,,,
DOM,0.023,0.041,0.951,0.007892423,0.011117873,0.01313218,,,
DZA,0.003,0.143,0.822,0.028904298,0.044177969,0.049524884,,,
ECU,0.099,0.242,4.898,0.011440583,0.017797737,0.020089108,,,
EGY,0.007,0.009,0.221,0.063714386,0.109262178,0.124860791,,,
ERI,0.016,0.012,0.478,0.003090159,0.003620312,0.011633839,,,
ESP,0.009,0.037,0.655,0.03972405,0.04741575,0.05276037,,,
EST,0.004,0.02,0.23,0.001436634,0.001330932,0.001259406,,,
ETH,0,0.015,0.187,0.05730988,0.120283026,0.158828816,,,
FIN,0.501,0.375,13.084,0.00510779,0.005541017,0.006175574,,,
FJI,0.075,0.048,1.922,0.000775498,0.00092461,0.000969505,,,
FRA ,0.012,0.488,16.164,0.0595419,0.067749632,0.076503877,,,
GAB,0,0.005,0.036,0.001086137,0.002341179,0.002287528,,,
GBR,5.371,5.197,160.399,0.05801903,0.0670263,0.076591519,,,
GEO,1.138,0.769,26.695,0.004734,0.00370861,0.00322615,,,
GHA,0,0.024,0.437,0.016760467,0.032833031,0.046376231,,,
GIN,0,0.006,0.074,0.007871173,0.013531906,0.015479772,,,
GMB,0.002,0.013,0.243,0.001066223,0.002639916,0.003273076,,,
GNB,0,0.00001,0.002,0.001137122,0.002060721,0.002488437,,,
GNQ,0,0.005,0.028,0.000504871,0.001634466,0.001442945,,,
GRC,0.003,0.065,2.921,0.010562153,0.010641221,0.01124847,,,
GTM,0.001,0.006,0.08,0.010408489,0.017109746,0.024965488,,,
GUY,0,0.002,0.013,0.000761291,0.000804567,0.00073221,,,
HKG,0.076,0.061,1.898,0.0061561,0.0074131,0.009266669,,,
HND,0.128,0.081,2.551,0.005709051,0.010278345,0.011658607,,,
HRV,0.001,0.026,0.771,0.004669,0.003879,0.00406329,,,
HTI,0.004,0.008,0.193,0.007819806,0.011447569,0.012747289,,,
HUN,0.002,0.068,2.307,0.010328965,0.009709891,0.008899446,,,
IDN,0.25,0.658,12.315,0.196957849,0.273753191,0.287522196,,,
IND,0.205,0.624,10.959,0.960482795,1.407563842,1.733795478,,,
IRL,0.065,0.074,2.076,0.003608841,0.005033165,0.006357959,,,
IRN,0.01,0.625,13.42,0.060575644,0.087923432,0.093465235,,,
IRQ,0.042,0.044,1.46,0.020208387,0.043533592,0.06775749,,,
ISL,0.719,2.277,40.107,0.000267468,0.00037252,0.000492265,,,
ISR,0.563,0.389,14.379,0.005545,0.0093647,0.014648658,,,
ITA,0.009,0.006,0.189,0.056844303,0.059109668,0.061475818,,,
JAM,1.5,1.187,38.868,0.00253744,0.002827695,0.002785828,,,
JOR,0.134,0.186,3.997,0.004572904,0.011148278,0.013253365,,,
JPN,0.018,0.029,0.699,0.125439,0.125681593,0.1086087,,,
KAZ,0.01,0.027,0.473,0.015815626,0.019000988,0.020177791,,,
