"ISO","epc_nhbc","epc_nhb","pcc_nhb","epc_s","pop_21","pop_50","avg_pop"
"SGP",-7.056297909931468,-7.013761008841405,-6.432894475043263,0.36482824831509997,0.005453566,0.006529551,0.0059915585
"HKG",-10.864469373100494,-10.92950836496476,-9.208781998410517,0.5078187008080208,0.0074131,0.009266669,0.0083398845
"NZL",-5.95267545408916,-5.606521673979517,-5.911939352862907,0.33644958846355927,0.0051114,0.005939594,0.005525497000000001
"NOR",-7.957131324971661,-8.201857116665009,-8.640764851612083,0.3797010270407362,0.00540832,0.007063307,0.0062358134999999995
"ISL",1.5078685604543764,-40.552320185419646,-20.83249664394193,0.026328541790852394,3.7252e-4,4.92265e-4,4.323925e-4
"BRN",-1.145322369180633,-1.7452301216087807,-0.5439399981535971,0.032646983855139526,4.45373e-4,6.26947e-4,5.361599999999999e-4
"AUS",-35.86739656251632,-33.919135393656376,-36.053533502247795,1.8791074404310906,0.025688079,0.036032921,0.0308605
"NLD",-24.628067129575886,-25.919697333295474,-24.60604166919098,1.0692779865466502,0.01697912,0.018142292,0.017560706000000002
"DEU",-103.31204209382459,-97.39907334376292,-85.75241007884499,5.018749415817936,0.082175684,0.082669724,0.082422704
"CHE",-11.102529073337275,-13.377667287208958,-13.18961216083676,0.5442115083525599,0.008703405,0.009171719,0.008937562
"DNK",-8.449129825021654,-8.718734640643934,-8.270911397947838,0.3594188691153781,0.005707251,0.00609819,0.0059027205
"QAT",-2.4323781439598453,-3.577819956294599,-4.816944017503968,0.1974538490708631,0.002688235,0.003797317,0.003242776
"SWE",-14.945920768428444,-15.493203600987863,-13.131460312048974,0.6729933438931958,0.009851017,0.012254064,0.0110525405
"IRL",-7.043086786208991,-7.725410182045142,-6.479690559933497,0.3330544324480288,0.004726286,0.006213191,0.0054697385
"SAU",-44.146070229880465,-41.51201263838433,-53.236302236908806,2.7511685632492457,0.035950396,0.054414248,0.045182322
"FIN",-12.943486157385205,-19.17698387245942,-4.731048976851426,0.3281387524147824,0.005487308,0.005290709,0.0053890085
"ARE",-21.984561310159247,-29.087506675019654,-16.874961759155365,0.8001085489595344,0.009365145,0.016915151,0.013140148
"CAN",-57.12894604132565,-62.69515706211403,-65.37723475441916,2.6125412106297583,0.038226498,0.047584804,0.042905651
